risk organism,taxon searched,organism matched,containing sample,abundance
genus species,species
Anastrepha fraterculus,fraterculus
Bactrocera tryoni,tryoni
Ceratitis capitata,capitata
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__Clavulinopsis_corallinorosacea|SH488603.07FU,CR90,[0.00839430548465771]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__Clavulinopsis_corallinorosacea|SH488603.07FU,AG136,[0.000302236550473504]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__Clavulinopsis_corallinorosacea|SH488603.07FU,DL60,[0.0192883725152038]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__Clavulinopsis_corallinorosacea|SH488603.07FU,DP56,[0.00382446109866337]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__Clavulinopsis_corallinorosacea|SH488603.07FU,M152,[0.00149137595642589]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__Clavulinopsis_corallinorosacea|SH488603.07FU,O151H,[0.000203804347826087]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__Clavulinopsis_corallinorosacea|SH488603.07FU,AB144,[0.00216347779054831]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__Clavulinopsis_corallinorosacea|SH488603.07FU,CY54N,[0.00271688792837295]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__Clavulinopsis_corallinorosacea|SH488603.07FU,AZ117F,[0.000832177531206657]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__Clavulinopsis_corallinorosacea|SH488603.07FU,AZ117H,[0.000780132622545833]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__Clavulinopsis_corallinorosacea|SH488603.07FU,CL96,[0.000598682897625224]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__Clavulinopsis_corallinorosacea|SH488603.07FU,CM51F,[0.000671441360787825]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__Clavulinopsis_corallinorosacea|SH488603.07FU,CM51H,[0.00932443550598775]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__Clavulinopsis_corallinorosacea|SH488603.07FU,CM51N,[0.041363274796549]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__Clavulinopsis_corallinorosacea|SH488603.07FU,CQ65,[0.000763397628378034]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__Clavulinopsis_corallinorosacea|SH488603.07FU,CY54F,[0.0107152797105483]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavulinopsis;s__Clavulinopsis_corallinorosacea|SH488603.07FU,CY54H,[0.00840597758405978]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_umbrosa|SH032967.07FU,AG136,[0.00201491033649003]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_umbrosa|SH032967.07FU,O151N,[0.00135725244895551]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_umbrosa|SH032967.07FU,M152,[0.00116716379198548]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_umbrosa|SH032967.07FU,Q158H,[0.00132113821138211]
Ceratitis rosa,rosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_umbrosa|SH032967.07FU,O151H,[0.000203804347826087]
Drosophila suzukii,suzukii
Guignardia bidwellii,bidwellii
Halyomorpha halys,halys
Homalodisca vitripennis,vitripennis
Lobesia botrana,botrana
Phakospora euvitis,euvitis
Phytoplasma solani,solani
Phytoplasma vitis,vitis
Planococcus ficus,ficus
Platynota stultana,stultana
Pseudopezicula tetraspora,tetraspora
Pseudopezicula tracheiphila,tracheiphila
Xanthomonas ampelina,ampelina,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Sordariomycetes_fam_Incertae_sedis;g__Cryptovalsa;s__Cryptovalsa_ampelina;,ST0255_S63,[1.32e-05]
Xanthomonas ampelina,ampelina,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Sordariomycetes_fam_Incertae_sedis;g__Cryptovalsa;s__Cryptovalsa_ampelina;,ST0257_S65,[0.000315896]
Xanthomonas ampelina,ampelina,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Sordariomycetes_fam_Incertae_sedis;g__Cryptovalsa;s__Cryptovalsa_ampelina;,ST0264_S72,[0.000324635]
Xanthomonas ampelina,ampelina,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Sordariomycetes_fam_Incertae_sedis;g__Cryptovalsa;s__Cryptovalsa_ampelina;,ST0267_S75,[0.000302579]
Xanthomonas ampelina,ampelina,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Sordariomycetes_fam_Incertae_sedis;g__Cryptovalsa;s__Cryptovalsa_ampelina;,ST0282_S90,[0.00010916]
Xanthomonas ampelina,ampelina,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Sordariomycetes_fam_Incertae_sedis;g__Cryptovalsa;s__Cryptovalsa_ampelina;,ST0289_S97,[0.011497874]
Xylella fastidiosa,fastidiosa
