risk organism,organism matched,containing sample,abundance
Bryonia cretica
Ehrharta villosa
Eichhornia crassipes
Moraea flaccida
Myrica faya
Phragmites australis
Pistia stratiotes
Salvinia molesta
Sorghum halepense
Zizania latifolia
Aphanomyces astaci
Acarapis woodi
Aethina tumida
Apis mellifera
Melissococcus pluton
Tropilaelaps clareae
Tropilaelaps koenigerum
Varroa underwoodi
Asterias amurensis
Carcinus maenas
Caulerpa taxifolia
Cherax quadricarinatus
Cherax tenuimanus
Eriocheir sinensis
Haliotis rufescens
Ictalurus punctatus
Penaeus orientalis
Bonamia ostreae
Bonamia roughleyi
Marteilia maurini
Marteilia refringens
Marteilia sydneyi
Mikrocytos mackini
Perkinsus marinus
Perkinsus olseni
Xenohaliotis californiensis
Amblyomma 
Anaplasma 
Anaplasma 
Anaplasma 
Anaplasma 
Babesia 
Bacillus anthracis
Boophilus 
Chrysomya 
Cochliomyia 
Coxiella burnetii
Dermacentor 
Echinococcus 
Ehrlichia ruminatium
Francisella tularensis
Ixodes 
Leishmania 
Rhipicephalus 
Trypanosoma 
Salmonella gallinarum
Salmonella pullorum
Brucella abortus
Campylobacter fetus
Cysticercus bovis
Taenia saginata
Mycoplasma mycoides
Pasteurella multocida
Theileria annulata
Theileria parva
Brucella canis
Dirofilaria immitis
Aeromonas salmonicida
Aphanomyces invadans
Gyrodactylus salaris
Myxobolus cerebralis
Renibacterium salmoninarum
Yersinia ruckeri
Anoplophora glabripennis
Buprestis aurulenta
Bursaphelenchus xylophilus
Coptotermes acinaciformis
Coptotermes formosanus
Cryptotermes brevis
Dendroctonus valens
Endocronartium harknessii
Rhyacionia buoliana
Tomicus piniperda
Teia anartoides
Thaumetopoea pityocampa
Fusarium circinatum
Gremmeniella abietina
Grosmannia wageneri
Heterobasidion annosum
Hylobius abietis
Hyphantria cunea
Lymantria dispar
Lymantria monacha
Melanophila californica
Monochamus 
Neodiprion lecontei
Ophiostoma novo-ulmi
Orgyia thyellina
Orthotomicus erosus
Phytophthora lateralis
Phytophthora ramorum,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria; g__Phytophthora; s__ramorum,659.NZFACE.R4.Browntop,[0.000240478263169792]
Phytophthora ramorum,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria; g__Phytophthora; s__ramorum,659.NZFACE.R2.Ryegrass.24.4,[5.94057053239393e-06]
Phytophthora ramorum,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria; g__Phytophthora; s__ramorum,659.NZFACE.R3.Browntop,[1.72822010611271e-05]
Phytophthora ramorum,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria; g__Phytophthora; s__ramorum,659.NZFACE.R3.Ryegrass.19.7,[3.33427010445792e-05]
Phytophthora ramorum,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria; g__Phytophthora; s__ramorum,659.NZFACE.R3.warm,[4.68748535160828e-06]
Phytophthora ramorum,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria; g__Phytophthora; s__ramorum,659.NZFACE.R4.Ryegrass.16.4,[0.000666750010417969]
Phytophthora ramorum,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria; g__Phytophthora; s__ramorum,659.NZFACE.R5.Browntop,[7.19077854559313e-06]
Phytophthora ramorum,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria; g__Phytophthora; s__ramorum,659.NZFACE.R5.Ryegrass,[1.87398102281884e-05]
Phytophthora ramorum,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria; g__Phytophthora; s__ramorum,659.NZFACE.R3.control.19.4,[1.74678591391839e-05]
Phytophthora ramorum,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria; g__Phytophthora; s__ramorum,659.NZFACE.R4.warm,[8.93535272304874e-06]
Phytophthora ramorum,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria; g__Phytophthora; s__ramorum,659.NZFACE.R1.Browntop,[2.56476959209172e-05]
Phytophthora ramorum,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria; g__Phytophthora; s__ramorum,659.NZFACE.R1.control.19.4,[0.000101511064706053]
Phytophthora ramorum,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria; g__Phytophthora; s__ramorum,659.NZFACE.R1.warm,[0.000133641957159734]
Phytophthora ramorum,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria; g__Phytophthora; s__ramorum,659.NZFACE.R2.Browntop,[4.24430202453207e-05]
Pissodes nemorensis
Puccinia psidii
Burkholderia mallei
Histoplasma capsulatum
Taylorella equigenitalis,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Taylorella; s__equigenitalis,659.NZFACE.R4.Browntop,[4.80956526339584e-06]
Taylorella equigenitalis,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Taylorella; s__equigenitalis,659.NZFACE.R3.warm,[4.68748535160828e-06]
Taylorella equigenitalis,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Taylorella; s__equigenitalis,659.NZFACE.R5.Ryegrass,[6.24660340939614e-06]
Taylorella equigenitalis,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Taylorella; s__equigenitalis,659.NZFACE.R6.control,[6.32679143099369e-06]
Taylorella equigenitalis,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Taylorella; s__equigenitalis,659.NZFACE.R6.warm,[1.08799721472713e-05]
Theileria equi
Achatina fulica
Anastrepha fraterculus
Anastrepha ludens
Anastrepha obliqua
Anastrepha serpentina
Anastrepha striata
Anastrepha suspensa
Bactrocera aquilonis
Bactrocera carambolae
Bactrocera cucumis
Bactrocera cucurbitae
Bactrocera curvipennis
Bactrocera dorsalis
Bactrocera facialis
Bactrocera frauenfeldi
Bactrocera jarvisi
Bactrocera kirki
Bactrocera latifrons
Bactrocera melanotus
Bactrocera neohumeralis
Bactrocera papayae
Bactrocera passiflorae
Bactrocera philippinensis
Bactrocera psidii
Bactrocera trilineola
Bactrocera trivialis
Bactrocera tryoni
Bactrocera xanthodes
Cacopsylla pyricola
Phytoplasma mali
Ceratitis rosa
Clavibacter michiganensis,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Clavibacter; s__michiganensis,659.NZFACE.R4.Browntop,[1.92382610535834e-05]
Clavibacter michiganensis,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Clavibacter; s__michiganensis,659.NZFACE.R2.control.23.4,[7.45828951588243e-06]
Clavibacter michiganensis,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Clavibacter; s__michiganensis,659.NZFACE.R2.Ryegrass.24.4,[1.18811410647879e-05]
Clavibacter michiganensis,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Clavibacter; s__michiganensis,659.NZFACE.R3.Browntop,[5.76073368704238e-06]
Clavibacter michiganensis,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Clavibacter; s__michiganensis,659.NZFACE.R3.Ryegrass.19.7,[1.42897290191054e-05]
Clavibacter michiganensis,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Clavibacter; s__michiganensis,659.NZFACE.R3.warm,[4.68748535160828e-06]
Clavibacter michiganensis,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Clavibacter; s__michiganensis,659.NZFACE.R4.Ryegrass.16.4,[5.95312509301758e-06]
Clavibacter michiganensis,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Clavibacter; s__michiganensis,659.NZFACE.R5.Browntop,[7.19077854559313e-06]
Clavibacter michiganensis,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Clavibacter; s__michiganensis,659.NZFACE.R5.Ryegrass,[2.49864136375846e-05]
Clavibacter michiganensis,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Clavibacter; s__michiganensis,659.NZFACE.R2.warm,[5.27214829498724e-06]
Clavibacter michiganensis,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Clavibacter; s__michiganensis,659.NZFACE.R3.control.19.4,[1.74678591391839e-05]
Clavibacter michiganensis,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Clavibacter; s__michiganensis,659.NZFACE.R4.control.19.8,[9.58129730765546e-06]
Clavibacter michiganensis,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Clavibacter; s__michiganensis,659.NZFACE.R4.warm,[1.78707054460975e-05]
Clavibacter michiganensis,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Clavibacter; s__michiganensis,659.NZFACE.R1.Browntop,[2.38157176408516e-05]
Clavibacter michiganensis,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Clavibacter; s__michiganensis,659.NZFACE.R1.control.19.4,[1.9335440896391e-05]
Clavibacter michiganensis,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Clavibacter; s__michiganensis,659.NZFACE.R1.Ryegrass.26.4,[1.39981522439038e-05]
Clavibacter michiganensis,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Clavibacter; s__michiganensis,659.NZFACE.R1.warm,[2.67283914319468e-05]
Clavibacter michiganensis,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Clavibacter; s__michiganensis,659.NZFACE.R2.Browntop,[1.21265772129488e-05]
Clavibacter michiganensis,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Clavibacter; s__michiganensis,659.NZFACE.R5.warm,[6.7554786932202e-06]
Conotrachelus nenuphar
Drosophila suzukii
Flavescence doree
Gymnosporangium asiaticum
Gymnosporangium juniperi-virginianae
Homalodisca coagulata
Leptinotarsa decemlineata
Halyomorpha halys
Helicobasidium mompa
Homalodisca vitripennis
Hyalesthes obsoletus
Bactrocera zonata
Ceratitis capitata
Phytoplasma solani
Phytoplasma pyri
Lobesia botrana
Monilinia fructigena
Xylella fastidiosa
Popillia japonica
Rhagoletis pomonella
Scaphoideus titanus
Synchytrium endobioticum
Tilletia controversa
Tilletia indica
Trogoderma granarium
Xanthomonas axonopodis
Xanthomonas fragariae
Xanthomonas campestris
Aedes aegypti
Aedes albopictus
Aedes japonicus
Aedes togoi
Aedes polynesiensis
Aedes vigilax
Culex annulirostris
Aedes sierrensis
Aedes camptorhynchus
Aedes scutellaris
Aedes atropalpus
Anopheles 
Culex gelidus
Culex sitiens
Anoplolepis gracilipes
Paratrechina longicornis
Brucella suis
Cysticercus cellulosae
Taenia solium
Pasteurella multocida
Trichinella spiralis
Brucella melitensis
Chlamydophila abortus
Theileria lestoquardi
Mycoplasma agalactiae
Mycoplasma capricolum
Psoroptes ovis
Solenopsis geminata
Wasmannia auropunctata
Spilopsyllus cuniculi
Solenopsis invicta
Potamocorbula amurensis
Sabella spallanzanii
Euvarroa sinhai
Penaeus chinensis
Inocybe umbrosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_umbrosa|SH032967.07FU,AG136,[0.00201491033649003]
Inocybe umbrosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_umbrosa|SH032967.07FU,M152,[0.00116716379198548]
Inocybe umbrosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_umbrosa|SH032967.07FU,O151H,[0.000203804347826087]
Inocybe umbrosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_umbrosa|SH032967.07FU,O151N,[0.00135725244895551]
Inocybe umbrosa,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_umbrosa|SH032967.07FU,Q158H,[0.00132113821138211]
